VM 1,1,686,353
VM 2,4,100,427
VM 3,1,100,430
VM 4,2,2888,330
VM 5,1,1292,362
VM 6,1,1811,327
VM 7,3,618,142
VM 8,4,4929,245
VM 9,3,4488,100
VM 10,4,731,410
VM 11,3,100,168
VM 12,1,2945,146
VM 13,2,100,405
VM 14,4,150,471
VM 15,4,688,155
VM 16,3,3426,145
VM 17,1,4317,297
VM 18,2,2063,10
VM 19,3,449,105
VM 20,1,2184,127
VM 21,2,121,257
VM 22,4,3893,165
VM 23,4,3717,383
VM 24,4,4292,232
VM 25,3,2255,386
VM 26,4,4663,289
VM 27,2,2664,28
VM 28,2,3244,374
VM 29,1,1943,473
VM 30,1,4203,470
VM 31,2,2013,25
VM 32,2,4380,190
VM 33,4,100,35
VM 34,1,1583,403
VM 35,2,3900,341
VM 36,1,365,299
VM 37,1,4501,289
VM 38,1,3197,193
VM 39,3,4558,321
VM 40,1,3436,80
VM 41,1,2491,350
VM 42,4,1847,488
VM 43,1,3016,49
VM 44,1,349,286
VM 45,1,2419,221
VM 46,2,852,39
VM 47,1,3362,424
VM 48,1,1315,186
VM 49,1,4468,305
VM 50,1,1572,460
VM 51,3,1470,23
VM 52,3,3857,169
VM 53,4,4043,281
VM 54,2,3860,300
VM 55,4,4388,341
VM 56,2,1335,198
VM 57,4,4158,211
VM 58,1,1738,335
VM 59,4,878,154
VM 60,3,3952,327
VM 61,1,1855,181
VM 62,1,1163,406
VM 63,3,4831,103
VM 64,1,2308,74
VM 65,3,2824,159
VM 66,1,2981,10
VM 67,1,4514,115
VM 68,1,100,317
VM 69,1,2947,33
VM 70,2,2156,316
VM 71,1,4764,457
VM 72,3,3077,90
VM 73,2,530,11
VM 74,2,4033,485
VM 75,2,1426,85
VM 76,4,1918,114
VM 77,4,3532,186
VM 78,3,4833,304
VM 79,4,2439,487
VM 80,1,4609,186
VM 81,2,2036,141
VM 82,2,1682,323
VM 83,3,3058,402
VM 84,1,3797,123
VM 85,3,2691,436
